"","CELL1_TREATMENT1","CELL2_TREATMENT1"
"ENSG00000163029",0.951878800485679,0.0514307921889656
"ENSG00000117523",0.399074151406839,0.923111423050762
"ENSG00000143162",0.0976128353210571,0.978049418839534
"ENSG00000180198",0.645567773806838,0.362268673795619
"ENSG00000078618",0.820372980662055,0.698073399050943
"ENSG00000097021",0.955258002140369,0.0159356399360145
"ENSG00000152904",0.510163296316248,0.561054232455629
"ENSG00000160072",0.608603316828717,0.0360760248117748
"ENSG00000137947",0.329987168822352,0.00441654250161694
"ENSG00000182551",0.533494983760408,0.675244766716574
"ENSG00000076356",0.555188334984664,0.0862071970230079
"ENSG00000160051",0.815685350905604,0.0399276135777657
"ENSG00000115129",0.848743750306415,1.88428234313829e-06
"ENSG00000213047",0.749188349212702,0.00238130716346331
"ENSG00000163399",0.654921850613898,0.0742829489055969
"ENSG00000116478",0.739939222576243,3.2678265306345e-06
"ENSG00000175279",0.642523161230362,0.208867657114237
"ENSG00000169504",0.431702389766985,0.000669270434345265
"ENSG00000197568",0.149384702900001,0.0128142424322052
"ENSG00000135778",0.98888024651232,0.00928274457483991
"ENSG00000182004",0.825899350304906,0.331414569061655
"ENSG00000053372",0.898861301773477,0.999626085285669
"ENSG00000162419",0.319830537671367,0.610876634814791
"ENSG00000143845",0.95453183864198,0.462778527974939
"ENSG00000182827",0.417748395696766,0.447792182017579
"ENSG00000116489",0.934841121752818,0.986390623531665
"ENSG00000011021",0.721084328368142,0.639239207329504
"ENSG00000189339",0.345187666810985,0.0432900367554334
"ENSG00000075945",0.570704309398408,0.105590445536086
"ENSG00000163472",0.886377003494837,0.0697973951385945
"ENSG00000136636",0.783163015912912,0.32134767728447
"ENSG00000168159",0.738987103337257,0.0309780918104049
"ENSG00000160767",0.566709193814295,0.316559366107195
"ENSG00000067334",0.991423014450181,0.00888341280732686
"ENSG00000178028",0.622935531620082,0.0907071905028817
"ENSG00000116957",0.494151342040273,0.0207847173857527
"ENSG00000117036",0.711953026438771,0.964570729197758
"ENSG00000197312",0.367470005999153,0.0218854104285874
"ENSG00000116679",0.704420054538315,0.00805447112072765
"ENSG00000143751",0.536957539620368,0.116482208878392
"ENSG00000116649",0.854907578159923,0.0224946113038756
"ENSG00000123836",0.980457660388631,0.401186239638051
"ENSG00000116525",0.975616533395659,0.437677352056012
"ENSG00000143198",0.452012380444696,0.410379291984144
"ENSG00000117360",0.521490326664313,0.805666809372988
"ENSG00000185104",0.951564245138809,0.101882015507562
"ENSG00000117461",0.423220967006264,0.365276931003972
"ENSG00000162413",0.694272273920825,0.806639733470621
"ENSG00000117118",0.0381397912916367,0.0917194214499825
"ENSG00000198912",0.866661972819641,7.03603294746647e-09
"ENSG00000117519",0.931424160289392,0.0108644284558823
"ENSG00000052723",0.473087814188304,0.358979476816819
"ENSG00000180758",0.891635529968,0.343536918175511
"ENSG00000081721",0.928857894274247,0.0024555847103559
"ENSG00000135776",0.214157725175048,0.045016841173561
"ENSG00000198198",0.376618013381074,0.00565073181939777
"ENSG00000126088",0.98660324973666,0.20356276264618
"ENSG00000240857",0.76498379298788,0.00270409904186516
"ENSG00000118193",0.934115037829506,3.67589432785039e-06
"ENSG00000116874",0.922497252625005,0.0155629802792675
"ENSG00000122406",0.794286808952754,0.159997972448985
"ENSG00000116793",0.668751022093203,0.0888501626764233
"ENSG00000117448",0.93363261431723,0.0697413342030218
"ENSG00000121753",0.936221413335039,0.321557921227585
"ENSG00000170385",0.646972178776322,0.662375027106939
"ENSG00000122482",0.493309287894835,0.116122169634597
"ENSG00000116698",0.964830827957879,0.118438578717367
"ENSG00000117114",0.940796055847815,0.0864363069722014
"ENSG00000116667",0.993965608073909,0.148890349765623
"ENSG00000156869",0.828292542998932,0.259801553149163
"ENSG00000163874",0.659624619014509,0.023655055811414
"ENSG00000159592",0.95975400048267,0.382379619175679
"ENSG00000077254",0.594665473476691,0.570549656080029
"ENSG00000117592",0.409407388785956,0.933053962290634
"ENSG00000162702",0.780648331401363,0.0446214869565344
"ENSG00000156171",0.800336131773488,0.319083037836946
"ENSG00000142961",0.65447452263129,0.00711270609783666
"ENSG00000183853",0.331207087644468,0.0441836859200088
"ENSG00000142687",0.703384060726839,0.0136993279600203
"ENSG00000143815",0.731167303243508,0.0120860729674932
"ENSG00000130940",0.760640717368536,0.0177993791235674
"ENSG00000160075",0.252419544635922,0.934455111965846
"ENSG00000160766",0.91532059147026,0.506806960646266
"ENSG00000177628",0.779029115013591,0.814902122913128
"ENSG00000120948",0.615437416102375,0.0574040074981488
"ENSG00000160803",0.0371363195732204,0.0491641394212924
"ENSG00000162385",0.885291171157731,0.0244416903516195
"ENSG00000189337",0.733441088870281,0.0383603908443971
"ENSG00000154305",0.801892778865817,0.127153425401543
"ENSG00000134744",0.968938161492287,0.0276208146493926
"ENSG00000196517",0.837784218582468,0.00894281859713214
"ENSG00000214114",0.707444179058807,0.181055667087621
"ENSG00000143156",0.585740112515842,0.000163035228304265
"ENSG00000084652",0.852956571244054,0.00448786824545653
"ENSG00000116761",0.874242100581817,0.598409964441206
"ENSG00000117475",0.939066409159821,0.000760530808929791
"ENSG00000154429",0.618214932247516,0.000405932394578051
"ENSG00000160710",0.637590509342835,1.61409367523818e-05
"ENSG00000157978",0.673078135327316,0.000684831254064985
"ENSG00000132694",0.974032324447519,0.823152255628629
"ENSG00000117597",0.798524752774874,0.0550020977031596
"ENSG00000010165",0.544485062062264,0.922538485323183
"ENSG00000142686",0.0173655137160255,0.142506109832857
"ENSG00000117528",0.814563824123936,0.0737488332423866
"ENSG00000116752",0.791581552351333,0.0366587122732281
"ENSG00000228794",0.595982122700677,0.109013363307999
"ENSG00000127054",0.894132077867889,0.0101589501466926
"ENSG00000163159",0.487809945433471,0.580157334845824
"ENSG00000183520",0.416834462731482,0.857171617605002
"ENSG00000116266",0.78506300834322,0.0938409250838298
"ENSG00000158062",0.959462723429453,0.448899219382945
"ENSG00000127603",0.664044729149903,0.000957272127250783
"ENSG00000119185",0.199449978674459,0.423539616411167
"ENSG00000097096",0.144807671181425,0.141895058280921
"ENSG00000117222",0.952254982631549,0.0922369303848608
"ENSG00000058453",0.965138147945218,0.288906708769954
"ENSG00000125703",0.629716717617649,0.552148784510657
"ENSG00000097046",0.398339484728693,0.0221321939331351
"ENSG00000174842",0.558752026803567,0.0853807391151982
"ENSG00000160679",0.901661759452117,0.688853039259009
"ENSG00000117625",0.0491033226548864,0.0338848454849141
"ENSG00000134690",0.349729876571311,0.0208289299800037
"ENSG00000054116",0.855677769024448,0.0108735699003358
"ENSG00000181450",0.904275802626707,0.9681515738121
"ENSG00000157881",0.951250315558137,0.0377059840908049
"ENSG00000143324",0.802132473135613,0.000953366422368268
